,Province_State,Date,Confirmed_Cases
624,Puerto Rico,2020-02-01,0
625,Rhode Island,2020-02-01,0
626,South Carolina,2020-02-01,0
627,South Dakota,2020-02-01,0
628,Tennessee,2020-02-01,0
629,Texas,2020-02-01,0
630,Utah,2020-02-01,0
631,Vermont,2020-02-01,0
632,Virgin Islands,2020-02-01,0
633,Virginia,2020-02-01,0
634,Washington,2020-02-01,1
635,West Virginia,2020-02-01,0
636,Wisconsin,2020-02-01,0
637,Wyoming,2020-02-01,0
638,Alabama,2020-02-02,0
639,Alaska,2020-02-02,0
640,American Samoa,2020-02-02,0
641,Arizona,2020-02-02,1
642,Arkansas,2020-02-02,0
643,California,2020-02-02,3
644,Colorado,2020-02-02,0
645,Connecticut,2020-02-02,0
646,Delaware,2020-02-02,0
647,Diamond Princess,2020-02-02,0
648,District of Columbia,2020-02-02,0
649,Florida,2020-02-02,0
650,Georgia,2020-02-02,0
651,Grand Princess,2020-02-02,0
652,Guam,2020-02-02,0
653,Hawaii,2020-02-02,0
654,Idaho,2020-02-02,0
655,Illinois,2020-02-02,2
656,Indiana,2020-02-02,0
657,Iowa,2020-02-02,0
658,Kansas,2020-02-02,0
659,Kentucky,2020-02-02,0
660,Louisiana,2020-02-02,0
661,Maine,2020-02-02,0
662,Maryland,2020-02-02,0
663,Massachusetts,2020-02-02,1
664,Michigan,2020-02-02,0
665,Minnesota,2020-02-02,0
666,Mississippi,2020-02-02,0
667,Missouri,2020-02-02,0
668,Montana,2020-02-02,0
669,Nebraska,2020-02-02,0
670,Nevada,2020-02-02,0
671,New Hampshire,2020-02-02,0
672,New Jersey,2020-02-02,0
673,New Mexico,2020-02-02,0
674,New York,2020-02-02,0
675,North Carolina,2020-02-02,0
676,North Dakota,2020-02-02,0
677,Northern Mariana Islands,2020-02-02,0
678,Ohio,2020-02-02,0
679,Oklahoma,2020-02-02,0
680,Oregon,2020-02-02,0
681,Pennsylvania,2020-02-02,0
682,Puerto Rico,2020-02-02,0
683,Rhode Island,2020-02-02,0
684,South Carolina,2020-02-02,0
685,South Dakota,2020-02-02,0
686,Tennessee,2020-02-02,0
687,Texas,2020-02-02,0
688,Utah,2020-02-02,0
689,Vermont,2020-02-02,0
690,Virgin Islands,2020-02-02,0
691,Virginia,2020-02-02,0
692,Washington,2020-02-02,1
693,West Virginia,2020-02-02,0
694,Wisconsin,2020-02-02,0
695,Wyoming,2020-02-02,0
696,Alabama,2020-02-03,0
697,Alaska,2020-02-03,0
698,American Samoa,2020-02-03,0
699,Arizona,2020-02-03,1
700,Arkansas,2020-02-03,0
701,California,2020-02-03,6
702,Colorado,2020-02-03,0
703,Connecticut,2020-02-03,0
704,Delaware,2020-02-03,0
705,Diamond Princess,2020-02-03,0
706,District of Columbia,2020-02-03,0
707,Florida,2020-02-03,0
708,Georgia,2020-02-03,0
709,Grand Princess,2020-02-03,0
710,Guam,2020-02-03,0
711,Hawaii,2020-02-03,0
712,Idaho,2020-02-03,0
713,Illinois,2020-02-03,2
714,Indiana,2020-02-03,0
715,Iowa,2020-02-03,0
716,Kansas,2020-02-03,0
717,Kentucky,2020-02-03,0
718,Louisiana,2020-02-03,0
719,Maine,2020-02-03,0
720,Maryland,2020-02-03,0
721,Massachusetts,2020-02-03,1
722,Michigan,2020-02-03,0
723,Minnesota,2020-02-03,0
724,Mississippi,2020-02-03,0
725,Missouri,2020-02-03,0
726,Montana,2020-02-03,0
727,Nebraska,2020-02-03,0
728,Nevada,2020-02-03,0
729,New Hampshire,2020-02-03,0
730,New Jersey,2020-02-03,0
731,New Mexico,2020-02-03,0
732,New York,2020-02-03,0
733,North Carolina,2020-02-03,0
734,North Dakota,2020-02-03,0
735,Northern Mariana Islands,2020-02-03,0
736,Ohio,2020-02-03,0
737,Oklahoma,2020-02-03,0
738,Oregon,2020-02-03,0
739,Pennsylvania,2020-02-03,0
740,Puerto Rico,2020-02-03,0
741,Rhode Island,2020-02-03,0
742,South Carolina,2020-02-03,0
743,South Dakota,2020-02-03,0
744,Tennessee,2020-02-03,0
745,Texas,2020-02-03,0
746,Utah,2020-02-03,0
